# UTF-8 tab-separated pairs of names for correcting “anglicized” names.
# Includes adding: " “ ” ' ‘ ’ ` ´
# and fixing letters:
# À Á Â Ã Ä Å Æ Ç È É Ê Ë Ì Í Î Ï Ð Ñ Ò Ó Ô Ö Ø Ù Ú Û Ü Ý Þ ß
# à á â ã ä å æ ç è é ê ë ì í î ï ð ñ ò ó ô ö ø ù ú û ü ý þ ÿ
# Incorrect<tab>Correct
Begovic, M.	Bégovic, M.
Copin-Montegut, C.	Copin-Montégut, C.
Diverres, D.	Diverrès, D.
Gonzalez-Davila, M.	González-Dávila, M.
Jutterstrom, S.	Jutterström, S.
Jutterstroem, S.	Jutterström, S.
Koertzinger, A.	Körtzinger, A.
Landschuetzer, P.	Landschützer, P.
Lefevre, N.	Lefèvre, N.
Olafsdottir, S.	Ólafsdóttir, S.
Olafsson, J.	Ólafsson, J.
Perez, F.F.	Pérez, F.F.
Rios, A.F.	Ríos, A.F.
Treguer, P.	Tréguer, P.
Haakon Mosby	Håkon Mosby
Hesperides	Hespérides
Ka imimoana	Ka'imimoana
L Astrolabe	L'Astrolabe
L Atalante	L'Atalante
