A. Körtzinger	Körtzinger, A.
A. K�rtzinger	Körtzinger, A.
Akira Kuwata	 Kuwata, A.
Akl,J.	Akl, J.
Alice Benoit-Cattin-Breton, Solveig Rosa Olafsdottir	Benoit-Cattin-Breton, A.; Ólafsdóttir, S.R.
Alin S.	Alin, S.
Alin, S.R.	Alin, S.
Alin S.R	Alin, S.
Alin S.R.	Alin, S.
Bakker, D. C. E.	Bakker, D.
Bates, N.	Bates, N.R.
Becker Meike	Becker, M.
Becker,Meike	Becker, M.
Becker, Meike	Becker, M.
Becker,Meike Olsen,Are	Becker, M.; Olsen, A.
Becker Meike Olsen Are	Becker, M.; Olsen, A.
B. Fiedler	Fiedler, B.
Cai, W.	Cai, W.-J.
Cai, W-J.	Cai, W.-J.
Cai, W.J.	Cai, W.-J.
Cai, W. J.	Cai, W.-J.
Castle, B.	Castle, R.D.
Castle, R.	Castle, R.D.
Castle, R.D.	Castle, R.D.
Chen L.	Chen, L.
Chiericci,M.	Chierici, M.
Collins, A.U	Collins, A.
Copin-Montegut, C.	Copin-Montégut, C.
Cosca C.	Cosca, C.
Cosca, C.E.	Cosca, C.
Cronin M.	Cronin, M.
Cross, J., J. Mathis, N. Monacci, S. Musielewicz, S. Maenner, and J. Osborne.	Cross, J.; Mathis, J.; Monacci, N.; Musielewicz, S.; Maenner, S.; Osborne, J.
Cross, J., J. Mathis, N. Monacci, S. Musielewicz, S. Maenner, and J. Osborne	Cross, J.; Mathis, J.; Monacci, N.; Musielewicz, S.; Maenner, S.; Osborne, J.
Currie,K.	Currie, K.I.
Currie K.	Currie, K.I.
Currie, K.	Currie, K.I.
Currie, K. I.	Currie, K.I.
D. Wallace	Wallace, D.
DeCarlo E.	DeCarlo, E.
Emerson S.	Emerson, S.
Evans W.	Evans, W.
Feely R.	Feely, R.
Feely, R.A.	Feely, R.
.Feely R.A	Feely, R.
Feely R.A	Feely, R.
Feely R.A.	Feely, R.
Feely, R.A	Feely, R.
Forja, J. M.	Forja, J.M.
Fransson,A.	Fransson, A.
González-Dávila, M.; Santana-Casiano, M.	González-Dávila, M.; Santana-Casiano, J.M.
Gregor Rehder, Michael Glockzin	Rehder, G.; Glockzin, M.
Gkritzalis,T.	Gkritzalis, T.
Glockzin,M.	Glockzin, M.
Gutekunst,S.	Gutekunst, S.
Hales B.	Hales, B.
